Row ID,Order Date,Ship Mode,Customer Name,Segment,Product ID,Category,Sub-Category,Sales,Cluster_ID,days_to_ship
1,2017-11-08,2,166,0,12,0,4,261.96,0,3
2,2017-11-08,2,166,0,55,0,5,731.94,0,3
3,2017-06-12,2,201,1,946,1,10,14.62,1,4
4,2016-10-11,3,687,0,319,0,16,957.5775,2,7
5,2016-10-11,3,687,0,1316,1,14,22.368,2,7
6,2015-06-09,3,113,0,185,0,9,48.86,1,5
7,2015-06-09,3,113,0,562,1,2,7.28,1,5
8,2015-06-09,3,113,0,1760,2,13,907.152,1,5
9,2015-06-09,3,113,0,794,1,3,18.504,1,5
10,2015-06-09,3,113,0,437,1,1,114.9,1,5
11,2015-06-09,3,113,0,328,0,16,1706.184,1,5
12,2015-06-09,3,113,0,1749,2,13,911.424,1,5
13,2018-04-15,3,31,0,1167,1,12,15.552,3,5
14,2017-12-05,3,336,0,781,1,3,407.976,4,5
15,2016-11-22,3,319,2,421,1,1,68.81,5,4
16,2016-11-22,3,319,2,663,1,3,2.544,5,4
17,2015-11-11,3,603,0,1407,1,14,665.88,6,7
18,2015-05-13,2,17,0,1294,1,14,55.5,7,2
19,2015-08-27,2,792,0,567,1,2,8.56,8,5
20,2015-08-27,2,792,0,1748,2,13,213.48,8,5
21,2015-08-27,2,792,0,730,1,3,22.72,8,5
22,2017-12-09,3,437,1,477,1,2,19.46,9,4
23,2017-12-09,3,437,1,408,1,1,60.34,9,4
24,2018-07-16,2,669,0,95,0,5,71.372,10,2
25,2016-09-25,3,256,0,319,0,16,1044.63,11,5
26,2017-01-16,2,261,0,702,1,3,11.648,1,4
27,2017-01-16,2,261,0,1545,2,0,90.57,1,4
28,2016-09-17,3,765,0,48,0,4,3083.43,10,4
29,2016-09-17,3,765,0,655,1,3,9.618,10,4
30,2016-09-17,3,765,0,310,0,9,124.2,10,4
31,2016-09-17,3,765,0,860,1,7,3.264,10,4
32,2016-09-17,3,765,0,610,1,2,86.304,10,4
33,2016-09-17,3,765,0,695,1,3,6.858,10,4
34,2016-09-17,3,765,0,526,1,2,15.76,10,4
35,2018-10-19,2,502,2,1034,1,12,29.472,12,4
36,2017-12-08,0,297,1,1860,2,13,1097.544,13,2
37,2017-12-08,0,297,1,265,0,9,190.92,13,2
