ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Category,Category_lower,Category_upper,Christmas,Christmas_lower,Christmas_upper,Cluster_ID,Cluster_ID_lower,Cluster_ID_upper,Fourth of July,Fourth of July_lower,Fourth of July_upper,Segment,Segment_lower,Segment_upper,Ship Mode,Ship Mode_lower,Ship Mode_upper,Sub-Category,Sub-Category_lower,Sub-Category_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Valentine's Day,Valentine's Day_lower,Valentine's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,days_to_ship,days_to_ship_lower,days_to_ship_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-03,232.053475392,-571.0862124969449,978.4485371872848,232.053475392,232.053475392,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-16.548463031029247,-16.548463031029247,-16.548463031029247,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-0.9876053471439443,-0.9876053471439443,-0.9876053471439443,23.79835321866565,23.79835321866565,23.79835321866565,0.0,0.0,0.0,215.50501236097074
2015-01-04,232.1488534679852,-627.139497206068,973.2671454824799,232.1488534679852,232.1488534679852,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-24.932039815516237,-24.932039815516237,-24.932039815516237,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-9.287384435258677,-9.287384435258677,-9.287384435258677,23.71455552229339,23.71455552229339,23.71455552229339,0.0,0.0,0.0,207.21681365246894
2015-01-05,232.24423154397033,-664.82591009516,1003.2939127601362,232.24423154397033,232.24423154397033,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-41.769698719144,-41.769698719144,-41.769698719144,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-26.027800657507548,-26.027800657507548,-26.027800657507548,23.6173128409145,23.6173128409145,23.6173128409145,0.0,0.0,0.0,190.47453282482633
2015-01-06,232.33960961995552,-604.0909034824293,995.6760708490654,232.33960961995552,232.33960961995552,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-25.08915494072477,-25.08915494072477,-25.08915494072477,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-9.279886786066164,-9.279886786066164,-9.279886786066164,23.549942747892345,23.549942747892345,23.549942747892345,0.0,0.0,0.0,207.25045467923076
2015-01-07,232.4349876959407,-586.8645953946454,944.017434837315,232.4349876959407,232.4349876959407,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,6.224837351341532,6.224837351341532,6.224837351341532,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,22.029226683676608,22.029226683676608,22.029226683676608,23.55482157021588,23.55482157021588,23.55482157021588,0.0,0.0,0.0,238.65982504728223
2015-01-09,232.62574384791102,-588.5020088883542,951.9060212938581,232.62574384791102,232.62574384791102,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-27.28966187870499,-27.28966187870499,-27.28966187870499,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-11.866828458281901,-11.866828458281901,-11.866828458281901,23.936377482127863,23.936377482127863,23.936377482127863,0.0,0.0,0.0,205.33608196920602
2015-01-10,232.72112192389622,-548.5463623830091,1003.1227156079613,232.72112192389622,232.72112192389622,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-15.968178177762162,-15.968178177762162,-15.968178177762162,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-0.9876053471072561,-0.9876053471072561,-0.9876053471072561,24.378638071896045,24.378638071896045,24.378638071896045,0.0,0.0,0.0,216.75294374613406
2015-01-11,232.8164999998814,-600.4016179599424,992.2445525476094,232.8164999998814,232.8164999998814,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-23.625186313880942,-23.625186313880942,-23.625186313880942,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-9.287384435256401,-9.287384435256401,-9.287384435256401,25.021409023926413,25.021409023926413,25.021409023926413,0.0,0.0,0.0,209.19131368600046
2015-01-13,233.00725615185172,-605.2703325138949,971.5812769231086,233.00725615185172,233.00725615185172,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,-21.681551998914216,-21.681551998914216,-21.681551998914216,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,-9.279886786026472,-9.279886786026472,-9.279886786026472,26.95754568966321,26.95754568966321,26.95754568966321,0.0,0.0,0.0,211.3257041529375
2015-01-14,233.10263422783692,-613.6440527903278,1027.9907472894636,233.10263422783692,233.10263422783692,1.258170293246213,1.258170293246213,1.258170293246213,0.0,0.0,0.0,-0.9975223555957534,-0.9975223555957534,-0.9975223555957534,0.0,0.0,0.0,-5.586092715862232,-5.586092715862232,-5.586092715862232,2.1299490659375686,2.1299490659375686,2.1299490659375686,-36.16371519027675,-36.16371519027675,-36.16371519027675,0.0,0.0,0.0,0.0,0.0,0.0,10.921523044697285,10.921523044697285,10.921523044697285,0.0,0.0,0.0,-39.359210902550956,-39.359210902550956,-39.359210902550956,0.0,0.0,0.0,22.029226683656276,22.029226683656276,22.029226683656276,28.25150726359196,28.25150726359196,28.25150726359196,0.0,0.0,0.0,244.0241572725342
